number,wage,educ,exper
1,7.780207685,1,23
2,4.818504756,1,15
3,10.56364542,1,31
4,7.042429456,1,32
5,7.887520792,1,9
6,8.200057511,1,15
7,8.214289079,1,26
8,10.37831775,1,23
9,10.95489082,1,13
10,7.211448219,1,22
11,6.968299376,1,39
12,7.433674848,1,20
13,8.3100677,1,16
14,6.757513033,1,38
15,12.1815002,1,41
16,6.297266478,1,37
17,8.0958282,1,18
18,7.709607609,1,24
19,7.404611811,1,31
20,8.783752563,1,34
21,8.791206721,1,20
22,9.108210481,1,35
23,6.520350819,1,23
24,9.219180018,1,40
25,3.380365345,1,23
26,8.169217078,1,33
27,11.71267157,1,15
28,9.577703465,1,31
29,7.613437316,1,18
30,8.339926475,1,31
31,9.933532309,1,33
32,8.591763986,1,11
33,6.510335921,1,28
34,8.8030362,1,17
35,9.702904568,1,26
36,7.746672649,1,18
37,7.464976363,1,28
38,9.192224076,1,18
39,8.895701278,1,37
40,9.155159036,1,22
41,7.922734067,1,19
42,4.507155447,1,27
43,8.167809043,1,19
44,11.97213181,1,32
45,7.909189165,1,40
46,11.55680852,1,21
47,9.577703465,1,21
48,4.151326602,1,2
49,9.85940223,1,30
50,7.746672649,1,29
51,6.92170283,1,21
52,5.633943069,1,32
53,8.255979812,1,33
54,7.746672649,1,4
55,12.67637252,1,34
56,7.857870248,1,36
57,4.507155447,1,13
58,7.746672649,1,19
59,8.607413504,1,21
60,7.751744551,1,37
61,11.73738408,1,32
62,8.048490452,1,21
63,8.154393045,1,40
64,9.85940223,1,21
65,8.450915843,1,41
66,9.773410445,1,37
67,9.901506945,1,26
68,7.355427257,1,18
69,4.892634835,1,16
70,9.014310893,1,27
71,6.596605346,1,39
72,9.155159036,1,21
73,6.500705257,1,18
74,10.95489082,1,35
75,13.38061572,1,37
76,11.26788614,1,24
77,7.887520792,1,29
78,9.637009512,1,35
79,11.73738408,1,23
80,7.32412822,1,20
81,9.637009512,1,27
82,11.11962598,1,30
83,8.450915843,1,28
84,5.329405874,1,32
85,8.450915843,1,29
86,7.800844821,1,15
87,9.637009512,1,33
88,7.511924918,1,19
89,11.26788614,1,37
90,10.46303784,1,18
91,5.962692025,1,13
92,8.450915843,1,14
93,6.084658118,1,28
94,7.545459954,1,9
95,4.969427292,1,19
96,10.14109852,1,34
97,8.169217078,1,34
98,9.718551608,1,33
99,9.637009512,1,45
100,11.26788614,2,17
